"pais","estratopri","cve_ent","prov","municipio","cve_mun","year","q2","vic1ext","b21a","b32","ing4","it1","pn4"
"México","Centro",9,"Ciudad de México","Miguel Hidalgo","09016",2010,"69","0","Poco","Moderado","Ligeramente en de acuerdo","Muy confiable","Satisfecho(a)"
"México","Centro Occidente",24,"San Luis Potosí","Armadillo de los Infante","24004",2010,"49","1","Moderado","Moderado","De acuerdo","Algo confiable","Satisfecho(a)"
"México","Centro Occidente",14,"Jalisco","Amacueca","14004",2010,"37","0","Mucho","Poco","Muy de acuerdo","Nada confiable","Satisfecho(a)"
"México","Centro",15,"México","Aculco","15003",2010,"38","0","Nada","Nada","Ligeramente en desacuerdo","Poco confiable","Satisfecho(a)"
"México","Norte",5,"Coahuila de Zaragoza","Candela","05005",2010,"21","1","Moderado","Algo","Ligeramente en desacuerdo","Algo confiable","Insatisfecho(a)"
"México","Sur",27,"Tabasco","Centla","27003",2010,"49","1","Moderado","Moderado","Muy de acuerdo","Muy confiable","Muy insatisfecho(a)"
"México","Centro",15,"México","Chiautla","15028",2010,"26","0","Nada","Nada","Ni en acuerdo ni en desacuerdo","Poco confiable","Insatisfecho(a)"
"México","Sur",20,"Oaxaca","Asunción Tlacolulita","20008",2010,"64","0","Moderado","Moderado",NA,"Algo confiable","Satisfecho(a)"
"México","Norte",2,"Baja California","Tijuana","02004",2010,"54","1","Moderado","Algo","Muy de acuerdo","Algo confiable","Satisfecho(a)"
"México","Centro Occidente",14,"Jalisco","Arandas","14008",2010,"63","0","Algo","Algo","Muy de acuerdo","Algo confiable","Satisfecho(a)"
"México","Centro Occidente",11,"Guanajuato","Comonfort","11009",2010,"29","0","Nada","Algo","En desacuerdo","Poco confiable","Satisfecho(a)"
"México","Centro",21,"Puebla","Aljojuca","21012",2010,"23","0","Nada","Nada","Muy en desacuerdo","Poco confiable","Muy insatisfecho(a)"
"México","Centro Occidente",11,"Guanajuato","Atarjea","11006",2010,"20","0","Bastante","Moderado","Muy de acuerdo","Algo confiable","Insatisfecho(a)"
"México","Centro Occidente",11,"Guanajuato","Apaseo el Grande","11005",2010,"35","0","Algo","Poco","Ni en acuerdo ni en desacuerdo","Algo confiable","Insatisfecho(a)"
"México","Centro",21,"Puebla","Aljojuca","21012",2010,"37","0","Muy poco","Muy poco","Muy de acuerdo","Algo confiable","Insatisfecho(a)"
"México","Sur",20,"Oaxaca","Asunción Ocotlán","20007",2010,"29","0","Bastante","Moderado","De acuerdo","Muy confiable","Satisfecho(a)"
"México","Centro Occidente",14,"Jalisco","Ahualulco de Mercado","14003",2010,"27","1","Nada","Moderado","Ni en acuerdo ni en desacuerdo","Muy confiable","Insatisfecho(a)"
"México","Sur",20,"Oaxaca","Asunción Cuyotepeji","20004",2010,"55","0","Mucho","Bastante","Ligeramente en de acuerdo","Poco confiable","Satisfecho(a)"
"México","Sur",30,"Veracruz de Ignacio de la Llave","Acultzingo","30006",2010,"35","0","Moderado","Moderado","De acuerdo","Algo confiable","Satisfecho(a)"
"México","Centro",13,"Hidalgo","Acatlán","13001",2010,"20","0","Algo","Muy poco",NA,"Poco confiable",NA
"México","Centro",9,"Ciudad de México","Coyoacán","09003",2010,"20","0","Poco","Algo","Ni en acuerdo ni en desacuerdo","Algo confiable","Satisfecho(a)"
"México","Centro Occidente",14,"Jalisco","Ahualulco de Mercado","14003",2010,"27","0","Algo","Muy poco","Ligeramente en de acuerdo","Algo confiable","Satisfecho(a)"
"México","Norte",2,"Baja California","Tijuana","02004",2010,"31","1","Bastante","Moderado","De acuerdo","Algo confiable","Insatisfecho(a)"
"México","Centro Occidente",16,"Michoacán de Ocampo","Arteaga","16010",2010,"50","1","Nada","Poco","Ligeramente en de acuerdo","Nada confiable","Insatisfecho(a)"
"México","Sur",7,"Chiapas","Arriaga","07009",2010,"40","1","Poco","Poco","Ligeramente en de acuerdo","Poco confiable","Insatisfecho(a)"
"México","Centro",21,"Puebla","Ahuacatlán","21006",2010,"28","0","Algo","Moderado","Ni en acuerdo ni en desacuerdo","Algo confiable","Satisfecho(a)"
"México","Norte",2,"Baja California","San Quintín","02006",2010,"27","0","Mucho","Mucho","Muy de acuerdo","Algo confiable","Muy satisfecho(a)"
"México","Centro Occidente",11,"Guanajuato","Abasolo","11001",2010,"75","0","Mucho","Mucho","Muy de acuerdo","Algo confiable","Satisfecho(a)"
"México","Centro",29,"Tlaxcala","Atlangatepec","29003",2010,"20","0","Algo","Algo","Ni en acuerdo ni en desacuerdo","Algo confiable","Satisfecho(a)"
"México","Sur",30,"Veracruz de Ignacio de la Llave","Acatlán","30002",2010,"21","0","Bastante","Bastante","De acuerdo","Algo confiable","Satisfecho(a)"
"México","Centro Occidente",14,"Jalisco","Atemajac de Brizuela","14010",2010,"37","0","Muy poco","Nada","Ni en acuerdo ni en desacuerdo","Nada confiable","Muy insatisfecho(a)"
"México","Norte",10,"Durango","Canelas","10002",2010,"42","0","Nada","Muy poco","Ligeramente en desacuerdo","Muy confiable","Insatisfecho(a)"
"México","Centro Occidente",11,"Guanajuato","Guanajuato","11015",2010,"27","0","Poco","Bastante","Ni en acuerdo ni en desacuerdo","Poco confiable","Insatisfecho(a)"
"México","Centro",15,"México","Amatepec","15008",2010,"64","0","Moderado","Muy poco","Muy de acuerdo","Muy confiable","Insatisfecho(a)"
"México","Norte",19,"Nuevo León","Apodaca","19006",2010,"24","0","Moderado","Moderado","Ligeramente en de acuerdo","Nada confiable","Insatisfecho(a)"
"México","Sur",23,"Quintana Roo","Cozumel","23001",2010,"54","0","Bastante","Bastante","De acuerdo","Poco confiable","Satisfecho(a)"
"México","Centro",9,"Ciudad de México","Xochimilco","09013",2010,"49","0","Poco","Mucho","Muy en desacuerdo","Algo confiable","Satisfecho(a)"
"México","Sur",20,"Oaxaca","Asunción Ocotlán","20007",2010,"66","0","Mucho","Mucho","En desacuerdo","Muy confiable","Muy satisfecho(a)"
"México","Norte",8,"Chihuahua","Ascensión","08005",2010,"20","0","Poco","Algo","De acuerdo","Algo confiable","Muy insatisfecho(a)"
"México","Centro",9,"Ciudad de México","Miguel Hidalgo","09016",2010,"49","0","Mucho","Algo","Muy en desacuerdo","Poco confiable","Muy insatisfecho(a)"
"México","Centro Occidente",16,"Michoacán de Ocampo","Zitácuaro","16112",2010,"23","1","Nada","Nada","Ligeramente en de acuerdo","Nada confiable","Satisfecho(a)"
"México","Centro Occidente",1,"Aguascalientes","Aguascalientes","01001",2010,"36","0","Moderado","Moderado","Ni en acuerdo ni en desacuerdo","Algo confiable","Insatisfecho(a)"
"México","Centro Occidente",22,"Querétaro","Corregidora","22006",2010,"34","0","Algo","Bastante","Muy de acuerdo","Algo confiable","Muy insatisfecho(a)"
"México","Centro Occidente",1,"Aguascalientes","Asientos","01002",2010,"18","0","Muy poco","Muy poco","Ni en acuerdo ni en desacuerdo","Algo confiable","Satisfecho(a)"
"México","Centro Occidente",18,"Nayarit","Acaponeta","18001",2010,"19","1","Moderado","Algo","Ni en acuerdo ni en desacuerdo","Muy confiable","Satisfecho(a)"
"México","Norte",2,"Baja California","Tijuana","02004",2010,"22","0","Poco","Algo","Muy de acuerdo","Algo confiable","Insatisfecho(a)"
"México","Centro Occidente",11,"Guanajuato","Abasolo","11001",2010,"48","0","Muy poco","Nada","Muy en desacuerdo","Nada confiable","Muy insatisfecho(a)"
"México","Centro",15,"México","Apaxco","15010",2010,"40","1","Algo","Muy poco","Muy en desacuerdo","Algo confiable","Muy insatisfecho(a)"
"México","Centro",21,"Puebla","Ahuacatlán","21006",2010,"18","0","Moderado","Bastante","Ni en acuerdo ni en desacuerdo","Algo confiable","Insatisfecho(a)"
"México","Centro",9,"Ciudad de México","Miguel Hidalgo","09016",2010,"81","0","Nada","Poco","Ni en acuerdo ni en desacuerdo","Algo confiable","Muy insatisfecho(a)"
"México","Norte",19,"Nuevo León","Cerralvo","19011",2010,"18","1","Bastante","Mucho","Ligeramente en de acuerdo","Poco confiable","Satisfecho(a)"
"México","Centro Occidente",14,"Jalisco","Amacueca","14004",2010,"61","0","Poco","Muy poco","De acuerdo","Algo confiable","Satisfecho(a)"
"México","Centro Occidente",14,"Jalisco","Arandas","14008",2010,"35","0","Bastante","Moderado","De acuerdo","Algo confiable","Insatisfecho(a)"
"México","Sur",7,"Chiapas","Arriaga","07009",2010,"57","0","Nada","Algo","Muy de acuerdo","Algo confiable","Insatisfecho(a)"
"México","Sur",30,"Veracruz de Ignacio de la Llave","Amatitlán","30012",2010,"32","0","Nada","Nada","De acuerdo","Muy confiable","Muy insatisfecho(a)"
"México","Centro",15,"México","Atlacomulco","15014",2010,"27","0","Algo","Moderado","En desacuerdo","Algo confiable","Satisfecho(a)"
"México","Centro Occidente",11,"Guanajuato","Abasolo","11001",2010,"42","0","Algo","Algo","Ni en acuerdo ni en desacuerdo","Muy confiable","Insatisfecho(a)"
"México","Norte",10,"Durango","Canatlán","10001",2010,"49","0",NA,NA,NA,NA,"Insatisfecho(a)"
"México","Centro",15,"México","Chiautla","15028",2010,"65","0","Mucho","Mucho","De acuerdo","Muy confiable","Satisfecho(a)"
"México","Sur",20,"Oaxaca","Asunción Cuyotepeji","20004",2010,"30","1",NA,"Moderado","Muy en desacuerdo","Algo confiable","Insatisfecho(a)"
"México","Sur",12,"Guerrero","Arcelia","12007",2010,"18","0","Muy poco","Nada","Muy de acuerdo","Algo confiable","Insatisfecho(a)"
"México","Sur",30,"Veracruz de Ignacio de la Llave","Atlahuilco","30020",2010,"20","0","Poco","Poco","Muy de acuerdo","Poco confiable","Satisfecho(a)"
"México","Centro",29,"Tlaxcala","Atlangatepec","29003",2010,"25","0","Nada","Poco","Muy de acuerdo","Nada confiable","Insatisfecho(a)"
"México","Centro",9,"Ciudad de México","Xochimilco","09013",2010,"22","0","Nada","Nada","Ni en acuerdo ni en desacuerdo","Nada confiable","Satisfecho(a)"
"México","Centro",9,"Ciudad de México","Tlalpan","09012",2010,"24","1","Algo","Algo","En desacuerdo","Algo confiable","Satisfecho(a)"
"México","Centro",17,"Morelos","Axochiapan","17003",2010,"24","0","Bastante","Poco","Ligeramente en de acuerdo","Algo confiable","Insatisfecho(a)"
"México","Centro Occidente",1,"Aguascalientes","Aguascalientes","01001",2010,"28","1","Moderado","Algo","Ni en acuerdo ni en desacuerdo","Poco confiable","Insatisfecho(a)"
"México","Sur",23,"Quintana Roo","Cozumel","23001",2010,"23","1","Algo","Moderado","Ni en acuerdo ni en desacuerdo","Poco confiable","Insatisfecho(a)"
"México","Sur",7,"Chiapas","Arriaga","07009",2010,"27","0","Algo","Muy poco","Ligeramente en de acuerdo","Algo confiable",NA
"México","Sur",12,"Guerrero","Atlixtac","12010",2010,"29","0","Poco","Bastante","Muy de acuerdo","Muy confiable","Insatisfecho(a)"
"México","Sur",12,"Guerrero","Apaxtla","12006",2010,"32","0","Nada","Nada","Ligeramente en desacuerdo","Algo confiable","Insatisfecho(a)"
"México","Norte",8,"Chihuahua","Ascensión","08005",2010,"56","0","Poco","Poco","Muy de acuerdo","Algo confiable","Satisfecho(a)"
"México","Centro",17,"Morelos","Axochiapan","17003",2010,"36","0","Mucho","Mucho","Ligeramente en de acuerdo","Poco confiable","Satisfecho(a)"
"México","Centro Occidente",11,"Guanajuato","Guanajuato","11015",2010,"18","1","Poco","Algo","De acuerdo","Poco confiable","Insatisfecho(a)"
"México","Sur",27,"Tabasco","Cárdenas","27002",2010,"33","0","Mucho","Bastante","Muy de acuerdo","Muy confiable","Insatisfecho(a)"
"México","Centro",15,"México","Atizapán","15012",2010,"27","1","Poco","Poco","Muy de acuerdo","Algo confiable","Insatisfecho(a)"
"México","Centro",15,"México","Atlacomulco","15014",2010,"30","1","Mucho","Moderado","Muy de acuerdo","Algo confiable","Muy satisfecho(a)"
"México","Sur",7,"Chiapas","Arriaga","07009",2010,"48","0","Mucho","Mucho","Ni en acuerdo ni en desacuerdo","Nada confiable","Satisfecho(a)"
"México","Sur",30,"Veracruz de Ignacio de la Llave","Apazapan","30017",2010,"21","0","Nada","Nada","Muy de acuerdo","Algo confiable","Insatisfecho(a)"
"México","Centro",29,"Tlaxcala","Atlangatepec","29003",2010,"35","0","Moderado","Moderado","Muy de acuerdo","Poco confiable","Insatisfecho(a)"
"México","Centro",15,"México","Chiautla","15028",2010,"51","0","Nada","Bastante",NA,"Muy confiable","Insatisfecho(a)"
"México","Centro",15,"México","Amatepec","15008",2010,"31","0","Nada","Muy poco","Muy de acuerdo","Algo confiable","Satisfecho(a)"
"México","Centro",21,"Puebla","Acteopan","21005",2010,"59","1","Nada","Poco","De acuerdo","Muy confiable","Insatisfecho(a)"
"México","Sur",30,"Veracruz de Ignacio de la Llave","Acajete","30001",2010,"20","0","Algo","Algo","Muy de acuerdo","Poco confiable","Satisfecho(a)"
"México","Norte",28,"Tamaulipas","Abasolo","28001",2010,"48","0","Algo","Bastante","Ni en acuerdo ni en desacuerdo","Poco confiable","Insatisfecho(a)"
"México","Centro",15,"México","Aculco","15003",2010,"43","0","Moderado","Poco","De acuerdo","Poco confiable","Insatisfecho(a)"
"México","Centro Occidente",11,"Guanajuato","Comonfort","11009",2010,"76","0","Muy poco","Moderado","Muy de acuerdo","Poco confiable","Satisfecho(a)"
"México","Norte",8,"Chihuahua","Ascensión","08005",2010,"27","0","Bastante","Muy poco","Muy de acuerdo","Muy confiable","Muy satisfecho(a)"
"México","Centro",15,"México","Huehuetoca","15035",2010,"31","0","Algo","Nada","Ni en acuerdo ni en desacuerdo","Muy confiable","Muy insatisfecho(a)"
"México","Norte",5,"Coahuila de Zaragoza","Allende","05003",2010,"38","1","Mucho","Poco","Ligeramente en desacuerdo","Poco confiable","Satisfecho(a)"
"México","Centro Occidente",16,"Michoacán de Ocampo","Zitácuaro","16112",2010,"57","1","Bastante","Mucho","De acuerdo","Poco confiable","Satisfecho(a)"
"México","Centro",15,"México","Rayón","15072",2010,"28","1","Algo","Algo",NA,"Poco confiable","Satisfecho(a)"
"México","Sur",20,"Oaxaca","Asunción Ocotlán","20007",2010,"58","0","Mucho","Moderado","Ligeramente en de acuerdo","Algo confiable","Satisfecho(a)"
"México","Norte",19,"Nuevo León","Apodaca","19006",2010,"42","0","Mucho","Moderado","De acuerdo","Poco confiable","Satisfecho(a)"
"México","Norte",28,"Tamaulipas","Bustamante","28006",2010,"36","1","Mucho","Algo","Ligeramente en de acuerdo","Algo confiable","Satisfecho(a)"
"México","Centro",15,"México","Apaxco","15010",2010,"43","0","Bastante","Bastante","De acuerdo","Algo confiable","Insatisfecho(a)"
"México","Norte",5,"Coahuila de Zaragoza","Allende","05003",2010,"18","1","Algo","Moderado","Ligeramente en de acuerdo","Algo confiable","Insatisfecho(a)"
"México","Centro Occidente",14,"Jalisco","Autlán de Navarro","14015",2010,"19","1","Bastante","Moderado",NA,"Muy confiable",NA
"México","Centro Occidente",18,"Nayarit","Acaponeta","18001",2010,"63","0","Muy poco","Mucho","De acuerdo","Nada confiable","Satisfecho(a)"
"México","Sur",30,"Veracruz de Ignacio de la Llave","Atoyac","30021",2010,"82","0","Nada",NA,NA,"Poco confiable",NA
"México","Sur",7,"Chiapas","Ángel Albino Corzo","07008",2010,"24","0","Bastante","Moderado","De acuerdo","Algo confiable","Satisfecho(a)"
"México","Sur",30,"Veracruz de Ignacio de la Llave","Angel R. Cabada","30015",2010,"23","0","Muy poco","Moderado","De acuerdo","Muy confiable","Muy insatisfecho(a)"
"México","Centro",9,"Ciudad de México","Tlalpan","09012",2010,"72","0","Muy poco","Poco",NA,"Algo confiable","Muy insatisfecho(a)"
"México","Sur",27,"Tabasco","Cárdenas","27002",2010,"21","0","Moderado","Moderado","De acuerdo","Algo confiable","Satisfecho(a)"
"México","Centro Occidente",16,"Michoacán de Ocampo","Arteaga","16010",2010,"22","0","Poco","Algo","Muy de acuerdo","Algo confiable","Satisfecho(a)"
"México","Centro",15,"México","Huehuetoca","15035",2010,"71","0","Poco","Bastante","Ni en acuerdo ni en desacuerdo","Muy confiable","Insatisfecho(a)"
"México","Centro",17,"Morelos","Axochiapan","17003",2010,"37","0","Algo","Moderado","Ni en acuerdo ni en desacuerdo","Algo confiable","Satisfecho(a)"
"México","Centro Occidente",18,"Nayarit","Amatlán de Cañas","18003",2010,"56","0","Poco","Algo","Ligeramente en de acuerdo","Muy confiable","Satisfecho(a)"
"México","Norte",28,"Tamaulipas","Antiguo Morelos","28004",2010,"36","0","Algo","Muy poco","De acuerdo","Muy confiable","Satisfecho(a)"
"México","Sur",30,"Veracruz de Ignacio de la Llave","Atlahuilco","30020",2010,"49","1","Muy poco","Poco","Ligeramente en de acuerdo","Poco confiable","Insatisfecho(a)"
"México","Norte",26,"Sonora","Aconchi","26001",2010,"28","1","Nada","Nada","Ni en acuerdo ni en desacuerdo","Muy confiable","Insatisfecho(a)"
"México","Centro Occidente",14,"Jalisco","Ahualulco de Mercado","14003",2010,"49","0","Bastante","Moderado","Ligeramente en de acuerdo","Muy confiable","Insatisfecho(a)"
"México","Sur",30,"Veracruz de Ignacio de la Llave","Atoyac","30021",2010,"60","0","Poco","Nada",NA,"Muy confiable","Muy insatisfecho(a)"
"México","Centro",17,"Morelos","Axochiapan","17003",2010,"40","0","Moderado","Poco","Ni en acuerdo ni en desacuerdo","Poco confiable","Insatisfecho(a)"
"México","Norte",2,"Baja California","San Quintín","02006",2010,"73","0","Moderado","Algo","Muy de acuerdo","Algo confiable","Satisfecho(a)"
"México","Centro Occidente",16,"Michoacán de Ocampo","Zitácuaro","16112",2010,"47","1","Bastante","Moderado","Muy de acuerdo","Poco confiable","Satisfecho(a)"
"México","Sur",30,"Veracruz de Ignacio de la Llave","Amatitlán","30012",2010,"25","1","Moderado","Moderado","Ligeramente en de acuerdo","Muy confiable","Satisfecho(a)"
"México","Centro",21,"Puebla","Ahuacatlán","21006",2010,"35","0","Muy poco","Moderado","Ligeramente en de acuerdo","Algo confiable","Insatisfecho(a)"
"México","Centro Occidente",16,"Michoacán de Ocampo","Zitácuaro","16112",2010,"19","1","Moderado","Bastante","Ni en acuerdo ni en desacuerdo","Nada confiable","Insatisfecho(a)"
"México","Centro Occidente",24,"San Luis Potosí","Aquismón","24003",2010,"71","0","Moderado","Bastante","Ni en acuerdo ni en desacuerdo","Muy confiable","Satisfecho(a)"
"México","Centro",15,"México","Rayón","15072",2010,"43","0","Poco","Poco",NA,"Poco confiable",NA
"México","Centro",15,"México","Aculco","15003",2010,"41","0","Nada","Muy poco","Muy de acuerdo","Poco confiable","Satisfecho(a)"
"México","Centro",21,"Puebla","Ahuatlán","21007",2010,"53","0","Nada","Muy poco","Muy de acuerdo","Muy confiable","Muy insatisfecho(a)"
"México","Norte",2,"Baja California","San Quintín","02006",2010,"51","0","Moderado","Nada","Muy de acuerdo","Algo confiable","Satisfecho(a)"
"México","Centro Occidente",14,"Jalisco","Arandas","14008",2010,"50","0","Bastante","Bastante","Muy de acuerdo","Algo confiable","Insatisfecho(a)"
"México","Centro Occidente",14,"Jalisco","Atemajac de Brizuela","14010",2010,"48","0","Bastante","Algo","Ligeramente en desacuerdo","Algo confiable","Muy insatisfecho(a)"
"México","Norte",25,"Sinaloa","Angostura","25002",2010,"49","0","Algo","Moderado","De acuerdo","Muy confiable","Insatisfecho(a)"
"México","Norte",8,"Chihuahua","Bachíniva","08006",2010,"28","0","Poco","Poco","Muy de acuerdo","Muy confiable","Insatisfecho(a)"
"México","Norte",25,"Sinaloa","Elota","25008",2010,"30","0","Nada","Nada",NA,"Nada confiable","Muy insatisfecho(a)"
"México","Norte",2,"Baja California","San Quintín","02006",2010,"29","1","Bastante","Poco","Muy de acuerdo","Algo confiable","Satisfecho(a)"
"México","Norte",26,"Sonora","Altar","26004",2010,"58","0","Algo","Poco","Ni en acuerdo ni en desacuerdo","Nada confiable","Insatisfecho(a)"
"México","Sur",7,"Chiapas","Ángel Albino Corzo","07008",2010,"43","1","Nada","Nada","Ligeramente en desacuerdo","Muy confiable","Satisfecho(a)"
"México","Centro",15,"México","Amatepec","15008",2010,"18","1","Algo","Moderado","Ligeramente en de acuerdo","Algo confiable","Satisfecho(a)"
"México","Sur",30,"Veracruz de Ignacio de la Llave","Acajete","30001",2010,"65","1","Nada","Nada","Ligeramente en de acuerdo","Poco confiable","Insatisfecho(a)"
"México","Norte",2,"Baja California","Tijuana","02004",2010,"47","0","Moderado","Algo","Muy de acuerdo","Poco confiable","Satisfecho(a)"
"México","Centro",15,"México","Huehuetoca","15035",2010,"84","0","Moderado","Algo","Ligeramente en de acuerdo","Muy confiable","Satisfecho(a)"
"México","Centro",13,"Hidalgo","Ajacuba","13005",2010,"19","0","Algo","Moderado","En desacuerdo","Algo confiable","Insatisfecho(a)"
"México","Centro",15,"México","Acolman","15002",2010,"56","0","Nada","Nada","Ligeramente en desacuerdo","Nada confiable","Satisfecho(a)"
"México","Centro Occidente",22,"Querétaro","Huimilpan","22008",2010,"44","0","Nada","Poco","Muy en desacuerdo","Poco confiable","Muy insatisfecho(a)"
"México","Sur",23,"Quintana Roo","Cozumel","23001",2010,"52","0","Mucho","Moderado","Ligeramente en de acuerdo","Poco confiable","Satisfecho(a)"
"México","Sur",27,"Tabasco","Centla","27003",2010,"30","0","Poco","Bastante","De acuerdo","Algo confiable","Insatisfecho(a)"
"México","Centro Occidente",14,"Jalisco","Autlán de Navarro","14015",2010,"62","0","Nada","Poco","Ni en acuerdo ni en desacuerdo","Algo confiable","Insatisfecho(a)"
"México","Norte",28,"Tamaulipas","Antiguo Morelos","28004",2010,"20","0","Nada","Poco","Muy en desacuerdo","Nada confiable","Satisfecho(a)"
"México","Centro Occidente",24,"San Luis Potosí","Aquismón","24003",2010,"28","0","Mucho","Moderado","Ni en acuerdo ni en desacuerdo","Nada confiable","Satisfecho(a)"
"México","Norte",26,"Sonora","Altar","26004",2010,"36","1","Nada","Nada","Ni en acuerdo ni en desacuerdo",NA,"Satisfecho(a)"
"México","Centro Occidente",18,"Nayarit","Amatlán de Cañas","18003",2010,"20","1","Poco","Poco","Ligeramente en de acuerdo","Algo confiable","Satisfecho(a)"
"México","Sur",12,"Guerrero","Apaxtla","12006",2010,"54","0","Muy poco","Muy poco","Ni en acuerdo ni en desacuerdo","Poco confiable","Insatisfecho(a)"
"México","Sur",7,"Chiapas","Arriaga","07009",2010,"38","0","Poco","Algo","Ni en acuerdo ni en desacuerdo","Muy confiable","Insatisfecho(a)"
"México","Norte",8,"Chihuahua","Bocoyna","08009",2010,"53","0","Moderado","Bastante","Ni en acuerdo ni en desacuerdo","Algo confiable","Insatisfecho(a)"
"México","Centro Occidente",14,"Jalisco","Arandas","14008",2010,"31","0","Moderado","Poco","En desacuerdo","Muy confiable","Satisfecho(a)"
"México","Norte",28,"Tamaulipas","Antiguo Morelos","28004",2010,"20","1","Mucho","Algo","Muy de acuerdo","Nada confiable","Satisfecho(a)"
"México","Centro Occidente",14,"Jalisco","Ahualulco de Mercado","14003",2010,"24","0","Mucho","Algo","Ni en acuerdo ni en desacuerdo","Poco confiable","Satisfecho(a)"
"México","Centro Occidente",14,"Jalisco","Amacueca","14004",2010,"60","0","Moderado","Moderado","Ligeramente en de acuerdo","Algo confiable","Satisfecho(a)"
"México","Centro Occidente",32,"Zacatecas","Apozol","32001",2010,"29","1","Nada","Nada","Ligeramente en desacuerdo","Muy confiable","Insatisfecho(a)"
"México","Centro",17,"Morelos","Axochiapan","17003",2010,"26","0","Poco","Algo","Muy de acuerdo","Algo confiable","Insatisfecho(a)"
"México","Sur",7,"Chiapas","Ángel Albino Corzo","07008",2010,"58","0","Nada","Nada","Ligeramente en de acuerdo","Muy confiable","Insatisfecho(a)"
"México","Norte",26,"Sonora","Álamos","26003",2010,"73","0","Bastante","Mucho","Ligeramente en de acuerdo","Muy confiable","Muy insatisfecho(a)"
"México","Norte",25,"Sinaloa","Badiraguato","25003",2010,"49","0","Moderado","Mucho","De acuerdo","Algo confiable",NA
"México","Norte",26,"Sonora","Álamos","26003",2010,"23","1","Algo","Poco","Muy de acuerdo","Algo confiable","Insatisfecho(a)"
"México","Centro",15,"México","Chiautla","15028",2010,"45","0","Muy poco","Poco","Ligeramente en de acuerdo","Muy confiable","Satisfecho(a)"
"México","Centro",15,"México","Chiautla","15028",2010,"28","1","Muy poco","Poco","En desacuerdo","Algo confiable","Insatisfecho(a)"
"México","Norte",26,"Sonora","Altar","26004",2010,"48","1","Moderado","Bastante","Ligeramente en de acuerdo","Nada confiable","Muy insatisfecho(a)"
"México","Norte",2,"Baja California","Tijuana","02004",2010,"28","0","Moderado","Poco","Muy de acuerdo","Poco confiable","Muy insatisfecho(a)"
"México","Sur",30,"Veracruz de Ignacio de la Llave","La Antigua","30016",2010,"45","0","Mucho","Moderado","Ni en acuerdo ni en desacuerdo","Poco confiable","Satisfecho(a)"
"México","Norte",8,"Chihuahua","Batopilas de Manuel Gómez Morín","08008",2010,"38","0","Moderado","Moderado","Muy de acuerdo","Algo confiable","Satisfecho(a)"
